ID,X,Y,DATA1,DATA2,DATA3,ISZONE,ISINTERSEC,LABEL
74275,287546.0,5051237.0,1.0,0.0,0.0,0,0,0000
74276,289875.0,5054039.0,1.0,0.0,0.0,0,0,0000
74277,289986.0,5058067.0,1.0,0.0,0.0,0,0,0000
74278,289257.0,5053594.0,1.0,0.0,0.0,0,0,0000
74279,289421.0,5053372.0,1.0,0.0,0.0,0,0,0000
74280,284072.0,5054082.0,1.0,0.0,0.0,0,0,0000
74281,286511.0,5055619.0,1.0,0.0,0.0,0,0,0000
74282,285609.0,5057360.0,1.0,0.0,0.0,0,0,0000
74283,282891.0,5061164.0,1.0,0.0,0.0,0,0,0000
74284,283335.0,5060226.0,1.0,0.0,0.0,0,0,0000
74285,283642.0,5059921.0,1.0,0.0,0.0,0,0,0000
74286,285981.0,5055024.0,1.0,0.0,0.0,0,0,0000
74287,285718.0,5055435.0,1.0,0.0,0.0,0,0,0000
74288,285478.0,5056465.0,1.0,0.0,0.0,0,0,0000
74289,285361.0,5056539.0,1.0,0.0,0.0,0,0,0000
74294,286080.0,5053635.0,1.0,0.0,0.0,0,0,0000
74295,286030.0,5053583.0,1.0,0.0,0.0,0,0,0000
74296,286278.0,5053288.0,1.0,0.0,0.0,0,0,0000
74297,286425.0,5053224.0,1.0,0.0,0.0,0,0,0000
74298,286911.0,5053929.0,1.0,0.0,0.0,0,0,0000
74299,286603.0,5054245.0,1.0,0.0,0.0,0,0,0000
74300,283759.0,5059976.0,1.0,0.0,0.0,0,0,0000
74301,285948.0,5061997.0,1.0,0.0,0.0,0,0,0000
74302,286343.0,5060050.0,1.0,0.0,0.0,0,0,0000
74304,287091.0,5060442.0,1.0,0.0,0.0,0,0,0000
74308,285716.0,5061792.0,0.0,2016.0,129.0,0,0,0000
74309,285880.0,5061777.0,0.0,2016.0,129.0,0,0,0000
74310,287114.0,5062043.0,0.0,2016.0,129.0,0,0,0000
74311,286666.0,5061609.0,0.0,2016.0,129.0,0,0,0000
74315,286001.0,5061871.0,0.0,2016.0,129.0,0,0,0000
74316,286072.0,5062057.0,0.0,2016.0,129.0,0,0,0000
74331,289325.0,5063904.0,0.0,2016.0,129.0,0,0,0000
74332,289215.0,5064013.0,0.0,2016.0,129.0,0,0,0000
74333,288807.0,5064025.0,0.0,2016.0,129.0,0,0,0000
74338,284202.0,5059060.0,1.0,0.0,0.0,0,1,0000
74340,284006.0,5059478.0,1.0,0.0,0.0,0,1,0000
74341,284080.0,5059312.0,1.0,0.0,0.0,0,1,0000
74344,284070.0,5059418.0,1.0,0.0,0.0,0,0,0000
74345,284169.0,5059515.0,1.0,0.0,0.0,0,0,0000
74348,288958.0,5052463.0,1.0,0.0,0.0,0,0,0000
74349,289045.0,5052359.0,1.0,0.0,0.0,0,0,0000
