ID,JNODE,INODE,KNODE,TPF,DATA1,DATA2,DATA3,VOLAU,VOLAD,TIMAU
98056-11943-98056,11943,98056,98056,0,0.0,0.0,0.0,0.0,0.0,-1.0
98056-11943-98057,11943,98056,98057,-1,0.0,0.0,0.0,60.22496,0.0,0.0
98057-11943-11940,11943,98057,11940,0,0.0,0.0,0.0,0.0,0.0,-1.0
98057-11943-98056,11943,98057,98056,-1,0.0,0.0,0.0,32.17981,0.0,0.0
98057-11943-98057,11943,98057,98057,0,0.0,0.0,0.0,0.0,0.0,-1.0
12129-12043-12042,12043,12129,12042,0,0.0,0.0,0.0,0.0,0.0,-1.0
12129-12043-12129,12043,12129,12129,0,0.0,0.0,0.0,0.0,0.0,-1.0
12129-12043-12300,12043,12129,12300,-1,0.0,0.0,0.0,6.1925287,0.0,0.0
12300-12043-12042,12043,12300,12042,-1,0.0,0.0,0.0,0.0,0.0,0.0
12300-12043-12129,12043,12300,12129,-1,0.0,0.0,0.0,38.101982,0.0,0.0
12300-12043-12300,12043,12300,12300,0,0.0,0.0,0.0,0.0,0.0,-1.0
12044-12045-12049,12045,12044,12049,0,0.0,0.0,0.0,0.0,0.0,-1.0
12044-12045-12115,12045,12044,12115,-1,0.0,0.0,0.0,1.239506,0.0,0.0
12049-12045-12049,12045,12049,12049,0,0.0,0.0,0.0,0.0,0.0,-1.0
12049-12045-12115,12045,12049,12115,-1,0.0,0.0,0.0,147.48148,0.0,0.0
12115-12045-12049,12045,12115,12049,-1,0.0,0.0,0.0,125.56225,0.0,0.0
12115-12045-12115,12045,12115,12115,0,0.0,0.0,0.0,0.0,0.0,-1.0
12278-12046-12047,12046,12278,12047,0,0.0,0.0,0.0,0.0,0.0,-1.0
12278-12046-12278,12046,12278,12278,0,0.0,0.0,0.0,0.0,0.0,-1.0
12278-12046-12298,12046,12278,12298,-1,0.0,0.0,0.0,123.43598,0.0,0.0
12298-12046-12047,12046,12298,12047,-1,0.0,0.0,0.0,13.374444,0.0,0.0
12298-12046-12278,12046,12298,12278,-1,0.0,0.0,0.0,1.2795508,0.0,0.0
12298-12046-12298,12046,12298,12298,0,0.0,0.0,0.0,0.0,0.0,-1.0
12047-12048-12129,12048,12047,12129,0,0.0,0.0,0.0,0.0,0.0,-1.0
12047-12048-12131,12048,12047,12131,-1,0.0,0.0,0.0,0.8136675,0.0,0.0
12047-12048-12279,12048,12047,12279,-1,0.0,0.0,0.0,50.436337,0.0,0.0
12131-12048-12129,12048,12131,12129,-1,0.0,0.0,0.0,0.0,0.0,0.0
12131-12048-12131,12048,12131,12131,0,0.0,0.0,0.0,0.0,0.0,-1.0
12131-12048-12279,12048,12131,12279,-1,0.0,0.0,0.0,109.65684,0.0,0.0
12279-12048-12129,12048,12279,12129,-1,0.0,0.0,0.0,6.1524839,0.0,0.0
12279-12048-12131,12048,12279,12131,-1,0.0,0.0,0.0,253.97195,0.0,0.0
12279-12048-12279,12048,12279,12279,0,0.0,0.0,0.0,0.0,0.0,-1.0
12045-12049-12045,12049,12045,12045,0,0.0,0.0,0.0,0.0,0.0,-1.0
12045-12049-12050,12049,12045,12050,-1,0.0,0.0,0.0,15.905414,0.0,0.0
12045-12049-12131,12049,12045,12131,-1,0.0,0.0,0.0,109.65684,0.0,0.0
12131-12049-12045,12049,12131,12045,-1,0.0,0.0,0.0,147.48148,0.0,0.0
12131-12049-12050,12049,12131,12050,0,0.0,0.0,0.0,0.0,0.0,-1.0
12131-12049-12131,12049,12131,12131,0,0.0,0.0,0.0,0.0,0.0,-1.0
12073-12072-12073,12072,12073,12073,0,0.0,0.0,0.0,0.0,0.0,-1.0
12073-12072-12076,12072,12073,12076,-1,0.0,0.0,0.0,56.05127,0.0,0.0
12077-12072-12073,12072,12077,12073,-1,0.0,0.0,0.0,59.57373,0.0,0.0
12077-12072-12076,12072,12077,12076,0,0.0,0.0,0.0,0.0,0.0,-1.0
12027-12086-12026,12086,12027,12026,0,0.0,0.0,0.0,0.0,0.0,-1.0
